@relation doc-subject

@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.007677,0,0,0,0,0,0.00687,0,0,0,0.025856,0,0
0,0,0,0,0,0.004478,0,0.006847,0,0.010107,0,0,0,0,0
0,0.047959,0.003379,0.003405,0.000001,0.011386,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.01425,0.002652,0,0
0,0.000017,0.022469,0,0,0,0.000001,0,0.002178,0.00002,0,0,0,0,0.001723
0.001149,0.003264,0.002054,0,0,0,0.009259,0.005316,0,0,0,0.000735,0.004805,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.018858,0,0.000003,0,0.000205
0,0,0,0,0,0,0.006293,0,0.002031,0,0,0,0,0,0
0,0,0,0.003995,0,0,0.006015,0.006475,0,0,0,0,0,0,0.000077
0,0,0,0.005594,0,0,0.002431,0,0,0,0,0,0.018171,0,0
0,0,0,0,0,0,0,0,0,0,0.00357,0,0.007636,0.001419,0
0,0,0,0,0,0.011761,0,0,0,0,0.001876,0,0,0,0
0,0,0,0,0,0,0,0.018429,0,0,0,0,0,0,0
0,0.002785,0,0,0.002865,0.002922,0.00623,0,0.008249,0.000006,0.021526,0,0,0.00364,0.004355
0,0,0,0,0,0,0,0,0,0.004425,0,0,0.004572,0,0.005792
0,0,0,0,0.004195,0,0,0,0,0,0,0,0,0,0.003731
0.025957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001038,0.028012,0,0.002073,0,0,0,0,0,0,0.003119,0,0,0,0
0,0,0,0,0,0,0,0,0,0.009853,0,0,0,0,0
0,0,0,0,0,0,0.003177,0,0,0,0,0,0,0,0
0,0.048606,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.002477,0,0,0.000061,0,0,0,0,0,0,0.038025,0.00321,0,0
0,0.000007,0.001238,0.000574,0.005167,0.000334,0.000065,0,0.003782,0,0.036554,0,0.010328,0.000001,0.00609
0,0,0,0,0.002424,0,0,0,0.005052,0,0.011583,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.001809,0.005662,0
0,0,0,0,0,0.012365,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.031248,0,0,0,0,0.000003,0.000005
0,0,0,0,0,0,0,0,0,0,0,0.006103,0,0,0
0,0,0,0.001692,0,0,0,0.032344,0,0.000008,0,0,0,0.000007,0
0.001562,0.002709,0.01625,0,0.000831,0,0.003256,0.000488,0,0.000001,0,0,0.000981,0.002047,0.004343
0,0,0,0,0,0,0,0.011216,0,0,0,0,0,0,0
0,0,0.001886,0,0,0,0,0,0.002263,0,0,0,0.003254,0.002352,0
0,0,0,0,0,0,0,0,0,0.004517,0,0,0,0,0
0.002004,0,0,0,0,0.001454,0,0,0.001635,0,0.008721,0,0,0,0.00376
0,0.002478,0,0,0,0,0,0,0,0,0,0,0,0,0.002639
0,0,0,0,0,0,0,0,0.019306,0,0,0,0,0,0
0,0.002095,0,0,0,0,0,0,0,0.000023,0,0,0,0,0.027937
0,0,0.006576,0,0,0,0,0,0,0,0,0,0,0,0
0,0.010659,0,0,0,0,0,0.004558,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.011055,0,0,0,0.001755,0.003531,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.009608,0,0
0,0,0,0.018825,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.015001,0.009974,0,0.002195,0.000043,0,0,0.022061,0
0,0,0.004078,0.000984,0,0,0,0,0,0.009479,0,0,0,0,0
0,0,0,0.001109,0,0,0,0.001618,0,0,0,0,0,0,0.003712
